RANumb,Text,Label
ra3,"Last updated: December 27, 2022",Updated Privacy Policy
ra3,"Personal information that we collect from you\nPersonal information that you provide to us\nWe collect personal information that you voluntarily provide to us so that we may provide you with information about our products and services and transact business with you. Personal information that you provide at this Website includes your name, job title, phone number, email address, company name, web domain name, company address and phone number. Personal information that you voluntarily provide at our product websites includes login credentials, such as username and password, billing information, and search query data inputted by you to access our products and services. The information that you provide to us at this Website, at our product websites, and offline is not used in our products and services.\n\nPersonal information that your organization provides to us\nWe collect personal information about you that organizations (such as your employer, or an association to which you belong) voluntarily provide to us. We collect this personal information so that we may provide your organization or you with information about our products and services and transact business with your organization. Personal information that we collect from organizations may include your name, job title, email address, user ID, IP address, and phone number.\n\nPersonal information collected from your use of our services\nWe may automatically log information, such as your IP address, domain name, browser type, date and time of access, and other log file data. This information may be used to analyze trends or administer our websites and mobile applications. We may collect statistical or non-personally-identifiable information about you, such as which pages you visited, how long you stay on a particular page, the website from which you came to our website, or similar information. We also may collect aggregate information such as the total number of unique or return visitors to our website, using our application, or visiting a particular page in a given timeframe. We may use this information to measure the use of our websites and applications and to improve our content. We may use Google Analytics, a third-party provider of analytics tools, or a similar third-party service to analyze information about visits to our websites. For information about opting out of Google Analytics please visit: https://tools.google.com/dlpage/gaoptout.\n\nWe may utilize “cookies,” web beacons and other similar technologies on our websites. We may use first and/or third-party “browser” or “HTTP” cookies, which are unique text files that may be used for data analysis and enable our websites to tailor information for the visitor. We may use browser cookies for purposes such as to personalize your experience on our website, to remember you when you register for products or services, for fraud prevention, or to track visits to our websites. We also may use “web beacons” (also referred to as pixel tags, clear gifs or other terms) or similar technologies to collect information such as how long you remain on a particular page. Our website does not honor browser “do not track” signals, but if you do not want us to deploy browser cookies to your device when you visit our websites, you may set the browser to reject cookies or to notify you when a website tries to place cookies in the browser program. Rejecting cookies may affect your ability to use some of the features offered by our websites. If you use our website without setting your browser to block cookies, you consent to the placement of cookies on your device.\n\nThird parties, including our service providers or marketing partners, may collect information about you as a visitor to our website over time and/or across different websites when you use our website. This information often is aggregate data or individual information that is tied to a browser or device rather than specific identifiers such as your name and address, but some of this information might be considered to be personally identifiable under some federal or state laws.\n\nPersonal information that we collect from third-party sources\nWe collect certain personal information from third-party data sources. Such information includes public record (available from government sources) and publicly-available data. Sources of personal information include major credit bureaus, government and public-record repositories, data aggregators, brokers, compilers, marketing companies, and public and publicly available sources.\n\nWe collected the following categories of personal information in the preceding 12 months:\n\nCategory of Personal Information	Personal Information Collected\nA. Identifiers	Name, alias, postal address, telephone and mobile phone number, Social Security number, IP address, device information and identifiers, date of birth, and email address.\nB. Personal information categories listed in the California Customer Records statute	Name, Social Security number, postal address, telephone and mobile phone number, employment, employment history, financial information, IP address, device information and identifiers.\nC. Protected classification characteristics under California or federal law	Age and gender.\nD. Commercial Information	Records of personal property, and products or services you purchased, obtained, or considered purchasing from us.\nE. Biometric information	We do not collect this information.\nF. Internet or other similar network activity	Information relating to your browsing history, search history, online behavior, interest data, and interactions with our and other websites, applications, systems and advertisements.\nG. Geolocation	We do not collect this information, other than those data types disclosed in Category A (Identifiers).\nH. Sensory data	Audio and electronic recordings, in connection with our business activities.\nI. Professional or employment information	Job title, work history and information, and professional licenses.\nJ. Non-public education information (per the Family Educational Rights and Privacy Act)	We do not collect this information.\nK. Inferences drawn from other personal information	An individual’s preferences and characteristics determined by websites visited.\nL. Sensitive Personal Information	For California residents: Social Security number.\nFor Virginia residents: We do not collect “sensitive data”, as that term is defined by the Virginia Consumer Data Protection Act.\n\nWe may use personal information for the following business purposes\nWe may use some or all of the collected personal information for our business purposes, including verifying your identity, fraud prevention, communicating with you, product development and enhancement, advertising and marketing our products and services, transacting business with you and processing your requests, compliance with law and legal process, and prosecuting and defending legal claims. We provide our products and services to credentialed organizations in the public and private sectors, including organizations such as financial services companies, insurance companies, the real estate industry, law enforcement and government, the collection industry, law firms, retail, telecommunications companies, corporate security and investigative firms for purposes such as identifying and preventing fraud and abuse, managing risk, facilitating commercial transactions, and for legislative compliance. We also provide personal information to various industries for their use in marketing their products and services to consumers. We restrict customer access to certain personal information in our products and services based on a variety of factors, including the type and sensitivity of the personal information, applicable laws, rules, and regulations, third-party data source contractual restrictions, customer industry classification, intended use of the personal information, and our internal customer credentialing policies and procedures. IDI does not provide products and services directly to consumers.\n\nSharing your personal information\nIn order to conduct our business, it may be necessary for us to share your personal information. We also may share your personal information if we believe that disclosure of the personal information is reasonably necessary to meet applicable law, rule, regulation, court order, legal process or government request, to enforce our customer contracts, including investigation of potential violations, in connection with contractual obligations, to detect, prevent, or otherwise address fraud, security or technical issues, and in connection with corporate transactions such as a merger, acquisition, or sale or transfer of assets.\n\nWe may communicate your personal information to third parties for cross-context behavioral advertising.",Categories of Personal Information Collected
ra3,"Personal Information Disclosed\nIn the preceding 12 months, we disclosed for a business purpose the following categories of personal information as indicated with a check mark below to our customers (and their approved processors, if any); vendors; service providers; suppliers; distributors; integrators; affiliates; commercial partners, and third parties as required by law or to protect our rights:\n\nCategory of Personal Information	Personal Information	Disclosed\nA. Identifiers	Name, alias, postal address, telephone and mobile phone number, Social Security number, IP address, device information and identifiers, date of birth, and email address.	✓\nB. Personal information categories listed in the California Customer Records statute	Name, Social Security number, postal address, telephone and mobile phone number, employment, employment history, financial information, IP address, device information and identifiers.	✓\nC. Protected classification characteristics under California or federal law	Age and gender.	✓\nD. Commercial Information	Records of personal property, and products or services you purchased, obtained, or considered purchasing from us.	✓\nE. Biometric information	We do not collect this information.	X\nF. Internet or other similar network activity	Information relating to your browsing history, search history, online behavior, interest data, and interactions with our and other websites, applications, systems and advertisements.	✓\nG. Geolocation	We do not collect this information, other than those data types disclosed in Category A (Identifiers).	X\nH. Sensory data	Audio and electronic recordings, in connection with our business activities.	X\nI. Professional or employment information	Job title, work history and information, and professional licenses.	✓\nJ. Non-public education information (per the Family Educational Rights and Privacy Act)	We do not collect this information.	X\nK. Inferences drawn from other personal information	An individual’s preferences and characteristics determined by websites visited.	✓\nL. Sensitive personal information	For California residents: Social security number.\nFor Virginia residents: We do not collect “sensitive data”, as that term is defined by the Virginia Consumer Data Protection Act.\n\n✓\nX\n",Categories of Personal Information Shared / Disclosed
ra3,"Personal Information Sold\nIn the preceding 12 months, we sold the following categories of personal information as indicated with a check mark below to our customers (and their approved processors, if any); distributors; integrators; and commercial partners:\n\nCategory of Personal Information	Personal Information	Sold\nA. Identifiers	Name, alias, postal address, telephone and mobile phone number, Social Security number, IP address, device information and identifiers, date of birth, and email address.	✓\nB. Personal information categories listed in the California Customer Records statute	Name, Social Security number, postal address, telephone and mobile phone number, employment, employment history, financial information, IP address, device information and identifiers.	✓\nC. Protected classification characteristics under California or federal law	Age and gender.	✓\nD. Commercial Information	Records of personal property, and products or services you purchased, obtained, or considered purchasing from us.	✓\nE. Biometric information	We do not collect this information.	X\nF. Internet or other similar network activity	Information relating to your browsing history, search history, online behavior, interest data, and interactions with our and other websites, applications, systems and advertisements.	✓\nG. Geolocation	We do not collect this information, other than those data types disclosed in Category A (Identifiers).	X\nH. Sensory data	Audio and electronic recordings, in connection with our business activities.	X\nI. Professional or employment information	Job title, work history and information, and professional licenses.	✓\nJ. Non-public education information (per the Family Educational Rights and Privacy Act)	We do not collect this information.	X\nK. Inferences drawn from other personal information	An individual’s preferences and characteristics determined by websites visited.	✓\nL. Sensitive personal information	For California residents: Social security number.\nFor Virginia residents: We do not collect “sensitive data”, as that term is defined by the Virginia Consumer Data Protection Act.\n\n✓\nX",Categories of Personal Information Sold
ra3,"You may request suppression of your personal information and manage the marketing communications that we send you\nYou may request suppression of your personal information included in IDI products. If you satisfy the opt-out requirements contained in the IDI Opt-Out Policy and your request is granted, your personal information will be suppressed from IDI products. Nevada residents seeking to exercise their rights under the Nevada Privacy Act should also review the requirements of the IDI Opt-Out Policy. You can opt-out of receiving marketing communications from us at any time by e-mailing us at privacy@ididata.com.",Description of Right to Limit use of PI
ra3,"If you are a California or Virginia resident, you may submit a “request to know” by visiting our Personal Information Request page.",Methods to exercise rights
ra3,"If you are a California or Virginia resident, you have the right to request that we disclose to you (i) the categories of personal information we collected about you, (ii) the categories of sources from which the personal information is collected, (iii) the specific pieces of personal information we collected about you, (iv) the business or commercial purpose for collecting or selling personal information about you, (v) the categories of personal information about you that we sold or disclosed for a business purpose, and (vi) the categories of third parties to whom we sold or to whom we disclosed for a business purpose such information in the preceding 12 months. If you are a California or Virginia resident and you request access to the personal information we collect about you, we will provide you with a copy of such information to you, in a usable format, which you may transmit to another entity of your choosing, subject to certain exceptions. If you are a California or Virginia resident, you may submit a “request to know” by visiting our Personal Information Request page.",Description of Right to Know PI Collected
ra3,"If you are a California or Virginia resident, you have the right to request that we disclose to you (i) the categories of personal information we collected about you, (ii) the categories of sources from which the personal information is collected, (iii) the specific pieces of personal information we collected about you, (iv) the business or commercial purpose for collecting or selling personal information about you, (v) the categories of personal information about you that we sold or disclosed for a business purpose, and (vi) the categories of third parties to whom we sold or to whom we disclosed for a business purpose such information in the preceding 12 months. If you are a California or Virginia resident and you request access to the personal information we collect about you, we will provide you with a copy of such information to you, in a usable format, which you may transmit to another entity of your choosing, subject to certain exceptions. If you are a California or Virginia resident, you may submit a “request to know” by visiting our Personal Information Request page.",Description of Right to Know PI sold / shared
ra3,"Right to correction\nIf you are a California or Virginia resident, you have the right to request that we correct inaccuracies in your personal information. Because the data we obtain about you may be derived from a public record or other record for which we are not the original source, we may be limited in our ability to correct it in our systems while maintaining its utility as a reflection of the public record or original record. Accordingly, we may elect to delete the portion of personal information that you consider inaccurate, instead of changing it within our systems. If you are a California or Virginia resident, you may submit a “request to correct” by visiting our Correction Request page.",Description of Right to Correct Information
ra3,"If you are a California or Virginia resident, you may submit a “request to correct” by visiting our Correction Request page.",Methods to exercise rights
