RANumb,Text,Label
ra5,"Overview:

 

· We collect information from various sources, such as public records and proprietary databases provided by other companies.
· We collect this information in order to sell databases to our clients that use them for direct marketing purposes.
· We automatically collect information from users of our Website for analytical purposes.",Categories of Personal Information Collected
ra5,"We sell personal information that we collect to other companies for them to use in connection with their direct marketing activities. You can access, delete and control certain uses of your information as explained below.",Categories of Personal Information Sold
ra5,"You can access, delete and control certain uses of your information as explained below.",Description of Right to Delete
ra5,"Information We Collect and How It Is Collected:

 

We collect information that identifies, relates to, describes, references, or is reasonably capable of being associated with, or could reasonably be linked, directly or indirectly, with a particular consumer or household (“personal information”). We collect the following categories of personal information, and we have collected the following categories of personal information within the last twelve (12) months, for the following purposes:",Categories of Personal Information Collected
ra5,"Category

Purposes for Which Such Information Was Used or Will be Used

Categories of Sources from Which Personal Information Has Been Collected

Categories of Third-Parties Which We Share Personal Information

Personal contact information (such as name, email address, physical address)

Sell consumer lists to third-parties for direct marketing purposes.

Publicly available databases (such as state and local records)

Licensed from third-party data companies

We sell the information to various marketers, such as those who wish to sell products and services directly to consumers.

Demographic information (such as age, income, marital status, net worth, etc.)

Sell consumer lists to third-parties for direct marketing purposes.

Publicly available databases (such as state and local records)

Licensed from third-party data companies

We sell the information to various marketers, such as those who wish to sell products and services directly to consumers.",Categories of Personal Information Sold
ra5,"Category

Purposes for Which Such Information Was Used or Will be Used

Categories of Sources from Which Personal Information Has Been Collected

Categories of Third-Parties Which We Share Personal Information

Personal contact information (such as name, email address, physical address)

Sell consumer lists to third-parties for direct marketing purposes.

Publicly available databases (such as state and local records)

Licensed from third-party data companies

We sell the information to various marketers, such as those who wish to sell products and services directly to consumers.

Demographic information (such as age, income, marital status, net worth, etc.)

Sell consumer lists to third-parties for direct marketing purposes.

Publicly available databases (such as state and local records)

Licensed from third-party data companies

We sell the information to various marketers, such as those who wish to sell products and services directly to consumers.",Categories of Personal Information Collected
ra5,l,Categories of Personal Information Sold
ra5,"Use and Sharing of Personal Information:  We may use the personal information we collect for the following purposes, and have done so in the past:

 

· To sell to our direct marketing customers.
· To contact users of our website regarding our products and services.
· To respond to law enforcement requests and as required by applicable law, court order, or governmental regulations.
· To investigate fraud or violations of law or of any party’s rights.
· To our service providers, such as hosting providers and email service providers, but they are only authorized by us to use the information in connection with their performance of services for us.
· To evaluate or conduct a merger, divestiture, restructuring, reorganization, dissolution, or other sale or transfer of some or all of our assets, whether as a going concern or as part of bankruptcy, liquidation, or similar proceeding, in which personal information held by us about our users is among the assets transferred.",Categories of Personal Information Shared / Disclosed
ra5,"BH Marketing Group LLC dba US Marketing Group will not collect additional categories of personal information or use the personal information we collected for materially different, unrelated, or incompatible purposes without providing you notice.",Categories of Personal Information Collected
ra5,"Analytics and Tracking Technologies:Cookies and other Tracking Technologies –  We or our third-party partners may store some information on your device or device hard drive as a “cookie” or similar type of file (such as clear gifs, web beacons, tags, and similar technologies that work on mobile devices) to collect data related to usage of the Website and for the purpose of facilitating and enhancing your communication and interaction with the Website",Categories of Personal Information Shared / Disclosed
