RANumb,Text,Label
ra3,The right to access your personal information (including a data portability request);,Description of Right to Know PI Collected
ra3,The right to correct or amend any personal information we have on file about you;,Description of Right to Correct Information
ra3,The right to delete your personal information;,Description of Right to Delete
ra3,The right to limit the use of your “sensitive” personal information;,Description of Right to Limit use of PI
ra3,The right to opt-out of the sale or “sharing” of your personal information;,Description of Right to Opt-out of sale of PI
ra3,"The right to access my personal information\nYou may have the right to access the personal information that we collect about you. Depending on the jurisdiction, we may be required to provide this information to you (to the extent technically feasible) in an electronic format that is commonly used, is easily understandable to the average consumer, and can be transferred to another entity at your request without hindrance. You may also have the right to request details regarding the information that we collect about you, including the categories of personal information that we collect, the sources of this personal information, our purposes for collecting and using this personal information, and the entities to which we disclose this personal information.",Description of Right to Know PI Collected
ra3,"The right to delete my personal information\nYou may have the right to delete personal information that we have collected about you. Depending on the jurisdiction, upon receiving a request for deletion, we may be obligated to request that service providers, contractors, and other third parties delete your personal information, as well. However, our obligation to honor your request to delete may be limited where our continued processing of your personal information is necessary for such purposes as: complying with a legal obligation; establishing, exercising, or defending legal claims; engaging in public or peer-reviewed scientific, historical, or statistical research; exercising the rights of freedom of speech, freedom of expression and information, and other rights provided for by law; fulfilling a contract between you and our business; and carrying out tasks in the public interest.",Description of Right to Delete
ra3,The right to correct or amend my personal information\nYou may have the right to correct or rectify inaccurate or incomplete personal information that we have on file about you. Such correction or rectification may take into account the nature of the personal information and our purposes for processing it.,Description of Right to Correct Information
ra3,"The right to limit the use of my “sensitive” personal information\nYou may have the right to limit our use of your “sensitive” personal information. “Sensitive” personal information may include information revealing your racial or ethnic origin, religious or philosophical beliefs, political opinions, or union membership; genetic data; biometric data for the purpose of uniquely identifying you; information concerning your health, sex life, or sexual orientation; information revealing your precise geolocation; and information revealing certain sensitive identification numbers (e.g., social security number, passport number) or financial information (e.g., bank account number in combination with a password). Depending on the jurisdiction, and subject to various exceptions, we may be prohibited from processing your sensitive personal information or limited to processing your sensitive personal information to the extent necessary to perform the services or provide the goods reasonably expected by an average consumer who requests those goods or services.",Description of Right to Limit use of PI
ra3,"The right to opt-out of the sale or “sharing” of my personal information\nYou may have the right to withdraw your consent for, or opt-out of, our sale or sharing of your personal information at any time. Depending on the jurisdiction, a “sale” might encompass our business selling, renting, releasing, disclosing, disseminating, making available, transferring, or otherwise communicating orally, in writing, or by electronic or other means, your personal information to a third party for monetary or other valuable consideration. Relatedly, “sharing” might entail our business sharing, renting, releasing, disclosing, disseminating, making available, transferring, or otherwise communicating orally, in writing, or by electronic or other means, your personal information to a third party for cross-context behavioral advertising, whether or not for monetary or other valuable consideration, including transactions between our business and a third party for cross-context behavioral advertising for the benefit of a business in which no money is exchanged.",Description of Right to Opt-out of sale of PI
ra3,"We and our partners store and/or access information on a device, such as unique IDs in cookies to process personal data. ",Categories of Personal Information Collected
ra3,"We and our partners process data to provide:\nUse precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Personalised ads and content, ad and content measurement, audience insights and product development.",Categories of Personal Information Collected
ra3,These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. ,Categories of Personal Information Collected
ra3,These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. ,Categories of Personal Information Collected
ra3,They may be set by us or by third party providers whose services we have added to our pages. ,Categories of Personal Information Shared / Disclosed
ra3,Targeting Cookies\nThese cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. ,Categories of Personal Information Collected
ra3,Targeting Cookies\nThese cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites.  ,Categories of Personal Information Shared / Disclosed
ra5,The right to access your personal information (including a data portability request);,Description of Right to Know PI Collected
ra5,The right to delete your personal information,Description of Right to Delete
ra5,The right to correct or amend any personal information we have on file about you;,Description of Right to Correct Information
ra5,The right to limit the use of your “sensitive” personal information;,Description of Right to Limit use of PI
ra5,The right to opt-out of the sale or “sharing” of your personal information;,Description of Right to Opt-out of sale of PI
ra5,"To exercise any of these rights, please fill out the webform below or contact us by email at privacyofficer@iqvia.com with your name, physical address, email address, the email address associated with your interactions with IQVIA (if different), telephone number, and details about your interactions with IQVIA (including whether you are a patient or a health care professional)",Methods to exercise rights
ra5,"The right to access my personal information\nYou may have the right to access the personal information that we collect about you. Depending on the jurisdiction, we may be required to provide this information to you (to the extent technically feasible) in an electronic format that is commonly used, is easily understandable to the average consumer, and can be transferred to another entity at your request without hindrance. You may also have the right to request details regarding the information that we collect about you, including the categories of personal information that we collect, the sources of this personal information, our purposes for collecting and using this personal information, and the entities to which we disclose this personal information.",Description of Right to Know PI Collected
ra5,"The right to delete my personal information\nYou may have the right to delete personal information that we have collected about you. Depending on the jurisdiction, upon receiving a request for deletion, we may be obligated to request that service providers, contractors, and other third parties delete your personal information, as well. However, our obligation to honor your request to delete may be limited where our continued processing of your personal information is necessary for such purposes as: complying with a legal obligation; establishing, exercising, or defending legal claims; engaging in public or peer-reviewed scientific, historical, or statistical research; exercising the rights of freedom of speech, freedom of expression and information, and other rights provided for by law; fulfilling a contract between you and our business; and carrying out tasks in the public interest.",Description of Right to Delete
ra5,The right to correct or amend my personal information\nYou may have the right to correct or rectify inaccurate or incomplete personal information that we have on file about you. Such correction or rectification may take into account the nature of the personal information and our purposes for processing it.,Description of Right to Correct Information
ra5,"The right to limit the use of my “sensitive” personal information\nYou may have the right to limit our use of your “sensitive” personal information. “Sensitive” personal information may include information revealing your racial or ethnic origin, religious or philosophical beliefs, political opinions, or union membership; genetic data; biometric data for the purpose of uniquely identifying you; information concerning your health, sex life, or sexual orientation; information revealing your precise geolocation; and information revealing certain sensitive identification numbers (e.g., social security number, passport number) or financial information (e.g., bank account number in combination with a password). Depending on the jurisdiction, and subject to various exceptions, we may be prohibited from processing your sensitive personal information or limited to processing your sensitive personal information to the extent necessary to perform the services or provide the goods reasonably expected by an average consumer who requests those goods or services.",Description of Right to Limit use of PI
ra5,"The right to opt-out of the sale or “sharing” of my personal information\nYou may have the right to withdraw your consent for, or opt-out of, our sale or sharing of your personal information at any time. Depending on the jurisdiction, a “sale” might encompass our business selling, renting, releasing, disclosing, disseminating, making available, transferring, or otherwise communicating orally, in writing, or by electronic or other means, your personal information to a third party for monetary or other valuable consideration. Relatedly, “sharing” might entail our business sharing, renting, releasing, disclosing, disseminating, making available, transferring, or otherwise communicating orally, in writing, or by electronic or other means, your personal information to a third party for cross-context behavioral advertising, whether or not for monetary or other valuable consideration, including transactions between our business and a third party for cross-context behavioral advertising for the benefit of a business in which no money is exchanged.",Description of Right to Opt-out of sale of PI
ra5,"The right to access my personal information\nYou may have the right to access the personal information that we collect about you. Depending on the jurisdiction, we may be required to provide this information to you (to the extent technically feasible) in an electronic format that is commonly used, is easily understandable to the average consumer, and can be transferred to another entity at your request without hindrance. You may also have the right to request details regarding the information that we collect about you, including the categories of personal information that we collect, the sources of this personal information, our purposes for collecting and using this personal information, and the entities to which we disclose this personal information.",Description of Right to Know PI sold / shared
ra5,Your Privacy\nWe process your data to deliver content or advertisements and measure the delivery of such content or advertisements to extract insights about our website,Categories of Personal Information Collected
ra5,We share this information with our partners on the basis of consent and legitimate interest. ,Categories of Personal Information Shared / Disclosed
ra5,Strictly Necessary Cookies\nAlways Active\nThese cookies are necessary for the website to function and cannot be switched off in our systems. ,Categories of Personal Information Collected
ra5,Performance Cookies\nPerformance Cookies\nThese cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site.    All information these cookies collect is aggregated and therefore anonymo,Categories of Personal Information Collected
ra5,Functional Cookies\nFunctional Cookies\nThese cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages.  ,Categories of Personal Information Collected
ra5,Functional Cookies\nFunctional Cookies\nThese cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages.    ,Categories of Personal Information Shared / Disclosed
ra5,Targeting Cookies\nTargeting Cookies\nThese cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites,Categories of Personal Information Shared / Disclosed
ra5,Your Name\nFull Address\nCity\nState\nCountry\nZip Code,Categories of Personal Information Collected
ra5,Your Name\nFull Address\nCity\nState\nCountry\nZip Code,Categories of Personal Information Shared / Disclosed
ra4,"Depending on your jurisdiction, you may have certain rights in relation to the processing of your personal data or personal information. These rights may include:\n\nThe right to access your personal information (including a data portability request);",Description of Right to Know PI Collected
ra4,The right to correct or amend any personal information we have on file about you;,Description of Right to Correct Information
ra4,The right to delete your personal information;,Description of Right to Delete
ra4,The right to limit the use of your “sensitive” personal information;,Description of Right to Limit use of PI
ra4,The right to opt-out of the sale or “sharing” of your personal information;,Description of Right to Opt-out of sale of PI
ra4,The right to opt-out of the use of your personal information for targeted advertising purposes;,Description of Right to Opt-out of sale of PI
ra4,"To exercise any of these rights, please fill out the webform below or contact us by email at privacyofficer@iqvia.com with your name, physical address, email address, the email address associated with your interactions with IQVIA (if different), telephone number, and details about your interactions with IQVIA (including whether you are a patient or a health care professional).",Methods to exercise rights
ra4,"The right to access my personal information\nYou may have the right to access the personal information that we collect about you. Depending on the jurisdiction, we may be required to provide this information to you (to the extent technically feasible) in an electronic format that is commonly used, is easily understandable to the average consumer, and can be transferred to another entity at your request without hindrance. You may also have the right to request details regarding the information that we collect about you, including the categories of personal information that we collect, the sources of this personal information, our purposes for collecting and using this personal information, and the entities to which we disclose this personal information.",Description of Right to Know PI Collected
ra4,"The right to access my personal information\nYou may have the right to access the personal information that we collect about you. Depending on the jurisdiction, we may be required to provide this information to you (to the extent technically feasible) in an electronic format that is commonly used, is easily understandable to the average consumer, and can be transferred to another entity at your request without hindrance. You may also have the right to request details regarding the information that we collect about you, including the categories of personal information that we collect, the sources of this personal information, our purposes for collecting and using this personal information, and the entities to which we disclose this personal information.",Description of Right to Know PI sold / shared
ra4,"The right to delete my personal information\nYou may have the right to delete personal information that we have collected about you. Depending on the jurisdiction, upon receiving a request for deletion, we may be obligated to request that service providers, contractors, and other third parties delete your personal information, as well. However, our obligation to honor your request to delete may be limited where our continued processing of your personal information is necessary for such purposes as: complying with a legal obligation; establishing, exercising, or defending legal claims; engaging in public or peer-reviewed scientific, historical, or statistical research; exercising the rights of freedom of speech, freedom of expression and information, and other rights provided for by law; fulfilling a contract between you and our business; and carrying out tasks in the public interest.",Description of Right to Delete
ra4,The right to correct or amend my personal information\nYou may have the right to correct or rectify inaccurate or incomplete personal information that we have on file about you. Such correction or rectification may take into account the nature of the personal information and our purposes for processing it.,Description of Right to Correct Information
ra4,"The right to limit the use of my “sensitive” personal information\nYou may have the right to limit our use of your “sensitive” personal information. “Sensitive” personal information may include information revealing your racial or ethnic origin, religious or philosophical beliefs, political opinions, or union membership; genetic data; biometric data for the purpose of uniquely identifying you; information concerning your health, sex life, or sexual orientation; information revealing your precise geolocation; and information revealing certain sensitive identification numbers (e.g., social security number, passport number) or financial information (e.g., bank account number in combination with a password). Depending on the jurisdiction, and subject to various exceptions, we may be prohibited from processing your sensitive personal information or limited to processing your sensitive personal information to the extent necessary to perform the services or provide the goods reasonably expected by an average consumer who requests those goods or services.",Description of Right to Limit use of PI
ra4,"The right to opt-out of the sale or “sharing” of my personal information\nYou may have the right to withdraw your consent for, or opt-out of, our sale or sharing of your personal information at any time. Depending on the jurisdiction, a “sale” might encompass our business selling, renting, releasing, disclosing, disseminating, making available, transferring, or otherwise communicating orally, in writing, or by electronic or other means, your personal information to a third party for monetary or other valuable consideration. Relatedly, “sharing” might entail our business sharing, renting, releasing, disclosing, disseminating, making available, transferring, or otherwise communicating orally, in writing, or by electronic or other means, your personal information to a third party for cross-context behavioral advertising, whether or not for monetary or other valuable consideration, including transactions between our business and a third party for cross-context behavioral advertising for the benefit of a business in which no money is exchanged.\n\nThe right to opt-out of the use of my personal information for targeted advertising purposes\nYou may have the right to withdraw your consent for, or opt-out of, our use of your personal information for purposes of targeted advertising. Depending on the jurisdiction, targeted advertising may entail any advertisement that is selected for you based on personal information obtained or inferred over time from your activities over nonaffiliated websites, applications, or services.",Description of Right to Opt-out of sale of PI
ra4,Personal Information\n\nYour Name\nFull Address\nCity\nState\nCountry\nZip Code\nContact Information\n\nTelephone Number\nContact Email Address\nEmail Address Used with IQVIA\nDetails\n\nRelationship with IQVIA\nYour Interaction with IQVIA,Methods to exercise rights
