RANumb,Text,Label
ra3,"Effective as of November 10, 2020",Updated Privacy Policy
ra3,"We collect information about you when you use the Services, including information you provide when you register an account, update your profile, access our content, make a purchase, participate in a promotion, contact customer support, or apply for a job. This information may include personal information.\n\nThe information that we collect, how we collect the information, and how we use and share that information, including the categories of information we collect and have collected in the last 12 months:\n\nInformation You Provide To Us:\n\nRegistered User Information. When you sign up to become a Registered User or create a registry, we may collect your name, e-mail address, physical address, zip code, and Unique Identifiers. Registered Users may also provide information in the course of using the Platform. In addition, Registered Users may elect to use Facebook Connect or similar logins. If you use such logins, you are authorizing Food52 to collect, store, and use, in accordance with this Privacy Policy, any and all information that you agreed that Facebook or such other entities could provide to us through their application programming interface. You control the information that we receive from Facebook or other similar social media sites, and such information may include, without limitation, your first and last name, Facebook username, Facebook profile picture, unique Facebook identifier and access token, and e-mail address.\nRefer a Friend. You may voluntarily provide us with first and last names or email addresses for your personal contacts in connection with our “Refer a Friend” program. Such functionality is only intended for U.S. residents. By providing us with first and last names or email addresses in connection with our “Refer a Friend” program, you thereby acknowledge and agree that you have the right to provide us with this information for use and disclosure as described in this Privacy Policy under all applicable laws, and that both you and your contacts are based in the U.S. We will use this information for the sole purpose of sending direct marketing emails to your friend, inviting him or her to use our Services. Our direct marketing emails always include an opportunity to unsubscribe from further emails.\nBilling Information and Transaction Information. If you purchase a Product through our Website, you will be required to provide certain information to our payment processing service provider(s) pursuant to the terms and conditions of their privacy policies and terms of use. Such information may include a debit card number, credit card number, expiration date, billing address, mailing address, activation codes, and similar information. You authorize our payment processing service providers to collect, process, and store this information. We do not store or process this information.\nProfile Data. We collect information including your interests, inferences, preferences and favorites.\nContent. We collect information regarding the content you post or send as part of our Services, including content within any messages you send to us (such as feedback and questions to customer support) or publicly post on the Services (such as in product reviews or article comments). We also collect content within any messages you exchange with other users through the Services (such as when you reply to a comment on one of our articles). We will, however, never use or share such information for direct marketing purposes.\nJob Applicant Data. We collect information when you apply for a job, including your employment and education history, transcript, writing samples, and references as necessary to consider your job application for open positions.\nViewing Information. In certain circumstances, we may need to share information about the videos you view on our Services along with other information we have about you, including information you have provided to us (such as your name or address) and information we have automatically collected (such as IP address, device identifier, or precise location data) with Service Providers, Vendors, Affiliates, or Partners. By using the Services, you consent to our doing so, including the collection, use, and sharing as described in this policy.\nOther Information You Voluntarily Provide.\n\nYou may choose to voluntarily provide other information to us that we do not request, and, in such instances, you are solely responsible for such information.\n\nInformation Collected Automatically From You.\n\nIn addition, we automatically collect information when you use the Services, which may include personal information. The categories of information we automatically collect and have collected in the last 12 months includes:\n\nService Use Data. This includes data about features you use, pages you visit, emails and advertisements you view, products and services you view and purchase, the time of day you browse, and your referring and exiting pages.\nDevice Data. We collect data about the type of device or browser you use, your device’s operating software, your internet service provider, your device’s regional and language settings, and device identifiers such as IP address and Ad Id.\nGeo-locational Information. Certain features and functionalities of the Platform may be based on your location. Collection of this information occurs only when the Platform is running on your mobile device. You may decline to allow us to collect such information by adjusting your browser settings, in which case we will not be able to provide certain features or functionalities to you.\n\nWe use various current – and later – developed tracking technologies to automatically collect information when you use the Services, including the following:\n\nCookies. Like most websites, we use automatic data collection technology when you visit our Website to collect information that identifies your computer. This comprises information about your operating system, your IP addresses, browser type and language, referring pages and URLs, keywords, date and time, and what sections of our Platform you visit (the “usage information”). For more information on how we use cookies, please see our Cookie Policy.\nPixels. Pixels are also known as web beacons, code embedded in a website, video, email or advertisement that sends information about your use to a server. Pixels are used in combination with cookies to track activity by a particular browser on a particular device.\nDevice Fingerprinting. This is the process of analyzing and combining sets of data elements from your device’s browser, such as JavaScript objects and installed fonts, to create a “fingerprint” of your device and uniquely identify your browser and device.\nApp Technologies. These app technologies included in our apps are not browser-based, such as cookies, and they cannot be controlled by browser settings. SDKs allow us to track our conversions, bring you advertising both on and off the Services, and provide you with additional functionality, such as the ability to connect our Services with your social media account.\nLocation-Identifying Technologies. These technologies are used to collect your location. For example, GPS, WiFi, and Bluetooth may be used to collect precise location data when you consent to precise location tracking through our App. Location data may be used for purposes such as verifying your device’s location and delivering or restricting relevant content and advertising based on that location.\n\nInformation from Other Sources\n\nWe also collect information from other sources. The following are the categories of sources we collect information from:\n\nConsumers or users of the Services\nData brokers or resellers from which we purchase data to supplement the data we collect.\nSocial networks when you engage with our content, reference our Services, or grant us permission to access information from the social networks.\nPartners that offer co-branded services, sell or distribute our products, or engage in joint marketing activities.\nPublicly-available sources, including data in the public domain.\n",Categories of Personal Information Collected
ra3,"Purpose of Collection and Use.\n\nWe use the information that we collect from you under this Privacy Policy for business and commercial purposes in accordance with the practices described in this Privacy Policy. Our business purposes for collecting and using information, including in the last 12 months, includes to:\n\nProvide our Website, App, Platform and related support;\nProcess and ship Product orders;\nPerform services requested by you, such as respond to general inquiries, comments, questions, requests, and provide customer service;\nPrevent and address fraud, breach of policies or terms, and threats or harm;\nMonitor and analyze trends, usage, and activities;\nConduct research, including focus groups and surveys;\nDevelop and provide you direct marketing and relevant content on our Website, App and Platform, including advertisements regarding products and services of ours or other entities, and communications about our and other entities’ products, offers, promotions, rewards, events, and services;\nConduct promotions, including verifying your eligibility and delivering prizes in connection with your entries;\nFulfill any other business or commercial purposes at your direction or with your notice and/or consent.\n",Categories of Personal Information Collected
ra3,"Sharing Your Information.\n\nWe share information, which may include personal information, we collect in accordance with the practices described in this Privacy Policy. The types of entities to whom we disclose and have shared information with in the last 12 months, include the following:\n\nService Providers. We hire other companies to process information on our behalf for our business purposes. We share information with service providers but only to the extent needed to enable them to provide such services. We contractually prohibit our service providers from retaining, using, or disclosing information about you for any purpose other than performing the services for us and require they provide at least the same level of privacy protection as set forth in this Privacy Policy and implemented by us.\nThird Parties. We share information with third parties (such as marketing partners) for commercial and/or marketing purposes, including analytics and advertising technology companies. For more information on advertising and analytics, see the “Analytics and Advertising” section above. We may also share your information with third parties when you voluntarily enter a sweepstakes, contest, or other promotion. We share information as set out in the official rules that govern the promotion as well as for administrative purposes and as required by law (e.g., on a winners list). By entering a promotion, you agree to the official rules that govern that promotion, and may, except where prohibited by applicable law, allow the sponsor and/or other entities to use your name in advertising or marketing materials.\nAffiliates. We share information with our related entities including our parent and sister companies for business purposes such as customer support, marketing, and technical operations. We also share information with affiliates for commercial purposes.\nPartners. We share information with our partners in connection with offering co-branded services, selling or distributing our products, or engaging in joint marketing activities.\nBusiness Transfers. We share information in the event of, or during negotiations of, any proposed or actual merger, reorganization, dissolution or similar corporate event, the sale of all or any portion of our assets, or transfer of all or a portion of our business to another business.\nDisclosure to Public Authorities. We may be required to share information in response to lawful requests by public authorities, including in response to law enforcement requests or court orders and subpoenas. We also share information to protect the rights, property, life, health, security and safety of us, the Services or anyone else.",Categories of Personal Information Shared / Disclosed
ra3,"Analytics and Advertising\n\nWe use one or more analytics services (such as Google Analytics) to evaluate your use of the Platform, compile reports on activity based on our partners’ collection of IP addresses, internet service provider, browser type, and other similar usage information. These partners use cookies to collect this usage information. By accessing and using the Platform, you consent to the processing of data about you by these other entities in the manner and for the purposes set forth in this Privacy Policy.",Categories of Personal Information Collected
ra3,"We use one or more analytics services (such as Google Analytics) to evaluate your use of the Platform, compile reports on activity based on our partners’ collection of IP addresses, internet service provider, browser type, and other similar usage information. These partners use cookies to collect this usage information. By accessing and using the Platform, you consent to the processing of data about you by these other entities in the manner and for the purposes set forth in this Privacy Policy.\n\nWe share your usage and contact information with third parties for marketing or advertising purposes, such as technology services for ad distribution and ad optimization (defined as the tailoring, targeting (i.e., behavioral, contextual, and retargeting), analyzing, managing, reporting, and optimizing of ads).",Categories of Personal Information Shared / Disclosed
ra3,"We also use audience matching services to reach people (or people similar to people) who have visited our Services or are identified in one or more of our databases (“Matched Ads”). For example, We do this by uploading a customer list to a technology service or incorporating a pixel from technology service into our own Service, and the technology service matching common factors between our data and their data These technology services may act as our service provider and in some cases may retain our list for their matching purposes.",Categories of Personal Information Shared / Disclosed
ra3,"Opt-Out of Sharing.\n\nYou may submit a request to opt-out of us sharing your information with third parties for marketing or advertising purposes, such as technology services (when they are not acting merely as our service providers) for ad distribution, ad optimization (defined as the tailoring, targeting (i.e., behavioral, contextual, and retargeting), analyzing, managing, reporting, and optimizing of ads), or list matching.",Description of Right to Opt-out of sale of PI
ra3,"To opt-out, please send us an email at privacy@food52.com.",Methods to exercise rights
ra3,"Account Information Choices.\n\nYou may access, update, or remove certain information that you have provided to use through your account by visiting your account settings or sending an email to the email address set out in the “Contact Us” section below.",Description of Right to Correct Information
